,Year,Month,Day,DateTime,ResolutionCode,areacode,AreaTypeCode,AreaName,MapCode,ProductionType,AggregatedInstalledCapacity,DeletedFlag,UpdateTime
849,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Biomass,490.0,0,2020-01-31 11:20:27
798,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Hard coal,4662.0,0,2020-05-26 17:38:15
800,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Onshore,3973.0,0,2020-01-31 11:18:32
803,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Brown coal/Lignite,0.0,0,2020-01-31 11:18:33
806,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Geothermal,0.0,0,2020-01-31 11:18:33
810,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Run-of-river and poundage,38.0,0,2020-01-31 11:18:35
812,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Water Reservoir,0.0,0,2020-01-31 11:18:42
815,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Wind Offshore,1709.0,0,2020-05-26 17:38:13
819,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Hydro Pumped Storage,0.0,0,2020-01-31 11:19:08
821,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other renewable,0.0,0,2020-01-31 11:19:12
824,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Solar,5710.0,0,2020-01-31 11:19:12
828,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil shale,0.0,0,2020-01-31 11:19:12
831,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Waste,790.0,0,2020-01-31 11:19:26
833,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Gas,15496.0,0,2020-01-31 11:19:33
837,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Coal-derived gas,0.0,0,2020-01-31 11:19:36
840,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Oil,0.0,0,2020-01-31 11:19:48
842,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Marine,0.0,0,2020-01-31 11:20:13
845,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Other,0.0,0,2020-01-31 11:20:17
792,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Fossil Peat,0.0,0,2020-01-31 11:17:57
795,2020,1,1,2020-01-01 00:00:00.000,P1Y,10YNL----------L,BZN,TenneT NL BZ,NL,Nuclear,485.0,0,2020-05-26 17:38:14
